Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
86,2240,2240.000,115,135,179,444,761,940,1069,1326,2009
87,2349,2349.000,115,134,167,424,751,911,1018,1245,1551
88,2266,2266.000,115,134,182,439,765,963,1070,1309,1883
89,2285,2285.000,115,133,175,436,770,940,1078,1307,1707
90,2042,2042.000,90,137,218,487,848,1073,1249,1503,2335
91,1969,1969.000,116,147,243,505,877,1133,1288,1595,2563
92,2033,2033.000,115,135,205,489,844,1093,1278,1660,2573
93,2166,2166.000,116,135,198,459,794,1022,1169,1562,2322
94,1841,1841.000,117,155,356,541,911,1107,1240,1628,2449
95,2196,2196.000,92,135,196,453,776,987,1115,1371,3159
96,2048,2048.000,84,138,188,486,869,1054,1187,1663,2184
97,2308,2308.000,71,131,175,431,755,938,1105,1382,1996
98,2298,2298.000,114,136,180,433,738,926,1077,1382,1890
99,2424,2424.000,93,136,171,410,727,896,1014,1261,2572
100,2124,2124.000,92,126,190,469,787,1059,1205,1639,2713
101,2193,2193.000,92,121,161,454,811,1028,1149,1523,1815
102,1842,1842.000,117,160,312,540,908,1154,1333,1709,2342
103,2139,2139.000,70,139,201,466,805,1037,1158,1473,2379
104,2081,2081.000,115,140,204,478,828,1073,1203,1496,2394
105,2096,2096.000,74,133,197,475,805,1040,1171,1475,2434
106,2033,2033.000,115,141,211,490,842,1083,1232,1607,2472
107,2355,2355.000,83,117,150,423,741,953,1063,1356,1958
108,2019,2019.000,92,134,195,493,873,1147,1294,1555,2126
109,1654,1654.000,100,179,356,601,1021,1246,1412,1853,5986
110,1590,1590.000,123,188,383,626,1060,1323,1509,1922,2434
111,1522,1522.000,131,188,407,653,1089,1329,1548,2075,3976
112,1724,1724.000,132,180,358,577,998,1242,1374,1659,2139
113,1779,1779.000,130,178,317,559,982,1192,1337,1707,2389
114,1653,1653.000,122,189,391,601,1004,1217,1338,1578,3132
115,1976,1976.000,117,150,285,504,830,1093,1248,1577,2159
116,1913,1913.000,116,150,302,520,878,1136,1266,1572,2458
117,2195,2195.000,115,139,191,453,775,964,1113,1395,2079
118,1690,1690.000,119,173,368,588,999,1257,1437,1768,2477
119,2332,2332.000,115,138,178,426,753,938,1063,1320,2037
120,1988,1988.000,116,143,217,500,847,1111,1300,1674,2461
121,1614,1614.000,132,182,381,616,1062,1312,1462,1888,2657
122,1749,1749.000,91,164,353,568,988,1217,1336,1686,3658
123,1710,1710.000,130,174,357,581,1025,1270,1434,1713,2421
124,1639,1639.000,93,174,380,606,1035,1264,1430,1768,2322
125,2073,2073.000,91,141,217,480,820,1036,1179,1508,3732
126,2393,2393.000,70,130,162,416,726,926,1071,1341,4196
127,2480,2480.000,71,126,165,401,696,870,987,1215,2041
128,2147,2147.000,72,136,194,463,790,1024,1155,1431,4430
129,1632,1632.000,117,169,367,609,1048,1304,1469,1733,4290
130,1640,1640.000,128,179,377,606,1006,1310,1517,1967,2866
131,1712,1712.000,92,160,342,581,982,1241,1489,2071,4390
132,1729,1729.000,129,172,361,575,986,1255,1375,1589,2192
133,1716,1716.000,131,172,347,579,988,1255,1419,1857,2551
134,1656,1656.000,133,181,384,600,1010,1268,1405,1706,2482
135,1672,1672.000,114,184,300,595,1020,1281,1435,1737,2756
136,1685,1685.000,132,189,372,590,993,1193,1338,1742,2453
137,1996,1996.000,116,150,223,498,851,1088,1221,1599,4340
138,2446,2446.000,114,135,167,406,700,872,1002,1269,1881
139,2577,2577.000,114,131,153,386,682,853,960,1311,1985
140,1945,1945.000,114,159,263,511,839,1086,1229,1554,4999
141,1873,1873.000,116,168,301,531,900,1145,1302,1640,2614
142,2139,2139.000,94,148,204,465,800,1037,1173,1446,2678
143,2326,2326.000,72,134,174,427,757,931,1054,1316,2203
144,2513,2513.000,71,123,157,396,695,870,993,1298,3090
145,2268,2268.000,75,136,178,439,757,967,1130,1409,1817
146,1721,1721.000,75,161,359,578,959,1244,1387,1629,19397
147,1678,1678.000,131,180,389,592,986,1222,1394,1628,2442
148,1786,1786.000,94,172,351,557,950,1188,1328,1664,2494
149,1839,1839.000,109,156,316,541,915,1168,1330,1694,2299
150,2152,2152.000,116,144,275,462,774,1002,1100,1307,2272
151,1736,1736.000,130,172,358,573,936,1248,1483,1986,2850
152,1680,1680.000,130,177,363,591,1013,1266,1427,1819,2618
153,1673,1673.000,94,177,378,595,980,1242,1431,1951,2736
154,1508,1508.000,131,186,403,660,1092,1450,1688,2073,2710
155,1609,1609.000,122,171,368,618,1011,1355,1594,2238,2984
156,1594,1594.000,132,182,395,624,1055,1298,1443,1756,3009
157,1665,1665.000,96,169,368,597,1030,1299,1440,1773,4948
158,1527,1527.000,131,185,394,652,1035,1394,1723,2141,2701
159,1636,1636.000,134,178,360,608,994,1336,1640,2369,2885
160,1644,1644.000,132,182,372,605,1039,1338,1494,1831,2249
161,1552,1552.000,134,187,392,640,1069,1377,1587,2065,2730
162,2007,2007.000,82,141,260,496,823,1086,1270,1703,2179
163,1839,1839.000,116,153,331,541,903,1179,1352,1724,2428
164,2057,2057.000,115,137,212,483,829,1092,1259,1583,2920
165,2181,2181.000,115,135,199,456,791,993,1096,1361,2317
166,1818,1818.000,115,152,335,547,936,1216,1378,1682,3146
167,1971,1971.000,87,127,265,505,861,1149,1328,1755,2643
168,1770,1770.000,86,145,339,562,940,1238,1429,2258,2772
169,1920,1920.000,77,144,248,518,911,1162,1345,1693,5280
170,2110,2110.000,77,136,240,471,783,1056,1196,1560,3700
171,1638,1638.000,120,168,379,607,1008,1285,1433,1869,5046
172,1839,1839.000,115,156,300,541,922,1170,1339,1769,3966
173,1755,1755.000,132,176,305,566,982,1223,1380,1713,2126
174,1943,1943.000,115,150,246,512,882,1138,1299,1639,2201
175,2481,2481.000,115,130,153,401,702,852,969,1219,2794
176,2289,2289.000,114,135,183,435,744,952,1085,1350,2618
177,2237,2237.000,115,136,182,445,758,972,1119,1395,11388
178,2311,2311.000,81,136,170,430,753,937,1072,1307,2539
179,1951,1951.000,75,148,287,510,839,1122,1291,1642,3308
180,1621,1621.000,133,186,389,613,1057,1294,1452,1766,2690
181,1599,1599.000,132,188,407,622,1040,1297,1425,1896,2556
182,2275,2275.000,73,137,184,437,753,978,1133,1429,2903
183,2134,2134.000,116,142,203,466,802,1041,1190,1420,1925
184,1663,1663.000,93,171,373,598,1019,1282,1431,1848,2982
185,1806,1806.000,91,165,239,550,976,1194,1325,1680,2859
186,1703,1703.000,93,164,345,584,1019,1251,1390,1656,2147
187,1624,1624.000,90,166,385,613,1039,1307,1451,1837,5054
188,1584,1584.000,97,186,391,628,1066,1344,1484,1817,2570
189,1585,1585.000,98,182,384,627,1068,1342,1527,2049,2731
190,1564,1564.000,136,192,411,636,1074,1308,1426,1856,4773
191,1502,1502.000,134,193,414,663,1086,1362,1624,2283,4064
192,1651,1651.000,107,188,351,602,1051,1312,1484,1747,2470
193,1496,1496.000,89,184,405,665,1093,1414,1696,2368,3404
194,1689,1689.000,130,176,377,589,991,1268,1416,1887,2898
195,1679,1679.000,130,173,356,592,1024,1290,1445,1757,2438
196,1588,1588.000,130,175,388,626,1051,1341,1536,2069,2855
197,1630,1630.000,132,173,360,610,1028,1339,1566,2104,3029
198,1647,1647.000,131,176,372,604,1002,1311,1500,2068,2648
199,1730,1730.000,130,171,346,574,971,1266,1415,1922,3102
200,1521,1521.000,129,178,398,654,1072,1330,1607,2250,4531
201,1643,1643.000,101,170,371,605,995,1293,1484,1980,4537
202,1592,1592.000,131,177,382,625,1068,1315,1523,1938,5342
203,1713,1713.000,98,174,355,580,986,1249,1409,1779,2421
204,1631,1631.000,100,178,386,610,1046,1299,1458,1766,2662
205,1663,1663.000,129,177,365,597,1004,1283,1428,1813,2499
206,1630,1630.000,131,175,357,610,1086,1349,1500,1797,2512
207,1721,1721.000,131,175,339,578,1010,1236,1389,1707,2859
208,1839,1839.000,131,168,288,540,930,1161,1359,1763,2190
209,1596,1596.000,130,174,390,623,1050,1302,1441,1863,19406
210,1608,1608.000,131,181,392,618,1045,1287,1444,1714,2464
211,1655,1655.000,131,180,371,601,1015,1297,1555,2036,2629
212,1634,1634.000,129,180,391,609,1029,1270,1416,1753,4574
213,1601,1601.000,132,184,397,621,1056,1267,1393,1715,2258
214,1582,1582.000,134,181,384,628,1064,1353,1509,1814,2600
215,1787,1787.000,120,168,258,557,973,1198,1349,1766,2764
216,1828,1828.000,90,153,288,544,946,1148,1302,1598,2503
217,2270,2270.000,72,118,182,439,819,1033,1151,1406,1854
218,2488,2488.000,71,101,140,400,754,952,1064,1337,2015
219,2043,2043.000,89,139,209,487,852,1074,1220,1507,2325
220,2115,2115.000,116,140,200,470,813,1047,1182,1440,2565
221,2245,2245.000,115,134,176,443,753,989,1138,1426,3275
222,2275,2275.000,74,134,166,438,748,967,1141,1610,2296
223,2514,2514.000,72,101,148,396,714,924,1059,1311,1695
224,2383,2383.000,70,100,159,418,732,935,1076,1399,2393
225,2631,2631.000,71,90,130,379,706,860,997,1211,2282
226,2221,2221.000,73,136,200,448,768,948,1097,1390,2434
227,2285,2285.000,92,133,162,435,770,994,1132,1478,2205
228,2275,2275.000,71,132,176,438,759,943,1071,1386,2092
229,2006,2006.000,104,142,290,496,820,1072,1224,1544,2447
230,2486,2486.000,115,132,154,400,701,878,1000,1308,1729
231,2373,2373.000,115,134,166,419,721,916,1044,1309,2106
232,2315,2315.000,115,133,165,430,749,950,1080,1360,4887
233,2422,2422.000,114,132,159,410,730,888,1026,1276,1849
234,2488,2488.000,114,131,151,400,730,874,986,1187,2770
235,2217,2217.000,114,134,178,449,769,978,1150,1497,3629
236,1879,1879.000,116,163,252,529,916,1156,1318,1678,2808
237,2156,2156.000,73,138,194,461,781,1023,1185,1578,2732
238,2073,2073.000,87,140,206,480,825,1083,1241,1581,2619
239,2168,2168.000,87,130,186,459,800,1019,1183,1492,2204
240,2116,2116.000,115,136,201,470,800,1074,1228,1502,1976
241,2251,2251.000,115,134,171,442,762,993,1160,1533,2345
242,2285,2285.000,114,134,172,435,757,972,1109,1378,1954
243,1987,1987.000,114,137,219,501,856,1151,1290,1697,2478
244,2123,2123.000,85,133,198,468,790,1097,1243,1545,5509
245,2412,2412.000,114,134,166,412,684,900,1089,1417,3272
246,2319,2319.000,73,126,187,429,722,953,1080,1335,7661
247,1689,1689.000,96,178,352,588,1008,1279,1439,1858,2634
248,1669,1669.000,95,179,360,596,1016,1292,1464,1877,2388
249,1670,1670.000,100,177,348,596,1009,1289,1461,1845,3817
250,1600,1600.000,131,192,362,621,1032,1292,1503,2096,2780
251,1723,1723.000,131,182,347,577,992,1229,1389,1645,2342
252,1735,1735.000,89,176,355,573,972,1228,1399,1638,2380
253,1658,1658.000,131,174,360,600,1038,1274,1403,1777,3580
254,1700,1700.000,135,186,283,585,994,1250,1441,1913,2926
255,1727,1727.000,135,180,328,575,993,1232,1373,1695,2236
256,1568,1568.000,135,185,392,635,1062,1314,1470,1971,2744
257,1602,1602.000,132,182,389,621,1037,1314,1485,1848,2693
258,1605,1605.000,132,177,388,619,1039,1326,1504,1858,2466
259,1581,1581.000,133,185,394,629,1059,1300,1445,1815,3852
260,1728,1728.000,133,177,329,575,1003,1207,1348,1632,2411
261,1695,1695.000,129,177,373,587,1003,1243,1382,1637,2051
262,1003,1003.000,130,173,356,586,991,1225,1374,1844,2615
