Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1306,1306.000,111,270,526,750,1155,1420,1648,2402,5475
1,1374,1374.000,129,237,458,713,1118,1425,1682,2601,4140
2,1627,1627.000,97,185,426,602,1001,1239,1389,1700,3917
3,1720,1720.000,136,185,236,568,981,1205,1325,1606,3556
4,1918,1918.000,118,162,196,512,964,1152,1260,1475,1938
5,1611,1611.000,128,185,370,611,1058,1290,1424,1665,2684
6,1625,1625.000,96,181,368,606,1025,1275,1472,1987,2706
7,1859,1859.000,106,162,240,531,935,1126,1248,1579,2104
8,1864,1864.000,106,163,230,530,938,1123,1277,1520,1984
9,1816,1816.000,88,153,230,543,967,1222,1412,1813,2445
10,1860,1860.000,90,151,258,530,950,1168,1306,1601,2360
11,1664,1664.000,133,177,380,590,1008,1249,1375,1681,2990
12,1732,1732.000,93,174,354,567,982,1229,1391,1763,2861
13,1826,1826.000,89,162,300,538,954,1187,1314,1585,1948
14,2033,2033.000,116,145,238,484,806,1022,1179,1540,2102
15,1586,1586.000,108,178,390,620,1038,1334,1486,1772,2514
16,1704,1704.000,117,146,334,578,996,1303,1449,1706,2301
17,2098,2098.000,108,141,224,469,759,1028,1183,1571,3764
18,1635,1635.000,78,165,349,603,990,1285,1484,2099,33730
19,1807,1807.000,117,151,332,544,915,1173,1354,1678,2398
20,1676,1676.000,99,179,323,588,1010,1279,1421,1729,6097
21,1701,1701.000,104,169,356,579,988,1260,1407,1801,2312
22,1686,1686.000,105,177,292,584,990,1260,1438,1918,8284
23,1658,1658.000,134,183,371,593,1024,1255,1390,1688,2437
24,1663,1663.000,133,176,364,589,1023,1268,1422,1839,5606
25,1676,1676.000,117,177,304,587,990,1267,1498,2210,3137
26,1685,1685.000,88,167,343,585,1006,1272,1423,1799,3696
27,1918,1918.000,92,143,206,520,940,1145,1271,1488,17934
28,1837,1837.000,88,153,244,533,952,1179,1325,1656,2597
29,1860,1860.000,89,154,250,531,938,1137,1279,1517,5416
30,1630,1630.000,97,183,381,603,1040,1282,1433,1822,3028
31,1593,1593.000,134,185,387,618,1046,1304,1459,1869,3098
32,1653,1653.000,134,184,383,595,1007,1278,1424,1899,2335
33,1881,1881.000,97,161,230,524,919,1141,1301,1634,2021
34,1675,1675.000,100,182,320,588,1022,1250,1360,1626,2147
35,1624,1624.000,125,181,376,606,1058,1307,1433,1800,2585
36,1669,1669.000,128,178,389,591,995,1235,1374,1687,2420
37,1608,1608.000,112,172,376,615,1014,1332,1625,2267,2864
38,1669,1669.000,133,177,371,591,1018,1255,1414,1724,2452
39,1701,1701.000,109,167,360,580,1001,1248,1401,1795,2340
40,1758,1758.000,111,166,260,562,990,1233,1370,1649,2411
41,1709,1709.000,116,181,285,578,996,1242,1417,1764,2403
42,1715,1715.000,98,178,303,576,988,1231,1379,1788,2213
43,1738,1738.000,135,181,249,568,1009,1260,1432,1994,2576
44,1653,1653.000,115,176,334,598,1019,1271,1466,1955,2642
45,1678,1678.000,114,175,295,589,1017,1264,1423,1861,2531
46,1548,1548.000,105,181,402,639,1070,1294,1438,1816,15999
47,1615,1615.000,132,179,379,612,1034,1320,1513,1877,2955
48,1595,1595.000,131,171,377,618,1028,1339,1576,2064,4869
49,1735,1735.000,130,174,352,568,960,1236,1392,1734,2690
50,1658,1658.000,131,180,376,595,1004,1268,1441,1746,2396
51,1569,1569.000,134,183,397,629,1074,1346,1508,1873,2353
52,1699,1699.000,134,174,350,581,1006,1248,1394,1760,2689
53,1638,1638.000,133,178,376,604,1012,1272,1468,1894,2843
54,1591,1591.000,133,177,394,620,1044,1319,1479,1756,2680
55,1623,1623.000,133,179,389,608,1017,1296,1454,1867,3081
56,1706,1706.000,132,174,357,579,989,1242,1380,1700,2129
57,1674,1674.000,116,171,352,589,1047,1288,1429,1755,2562
58,1951,1951.000,116,147,226,506,860,1149,1329,1809,2253
59,1731,1731.000,110,181,333,570,990,1200,1334,1557,2044
60,1710,1710.000,117,163,333,578,991,1263,1409,1705,2211
61,2349,2349.000,115,135,167,420,751,920,1028,1255,1731
62,2338,2338.000,115,132,166,422,742,923,1050,1297,1851
63,2038,2038.000,116,141,216,484,809,1058,1210,1550,2331
64,2074,2074.000,115,137,204,480,824,1047,1184,1532,2418
65,2167,2167.000,114,137,197,459,782,1015,1174,1491,2049
66,2186,2186.000,115,136,196,455,779,1017,1162,1470,2068
67,2155,2155.000,114,134,185,462,810,1056,1205,1427,2230
68,2146,2146.000,114,136,202,464,777,1010,1179,1452,2370
69,2417,2417.000,114,133,168,411,719,910,1041,1273,2275
70,2170,2170.000,115,135,196,459,779,1018,1167,1449,2358
71,2314,2314.000,115,133,177,430,759,911,1033,1281,9850
72,2291,2291.000,77,132,171,435,749,954,1120,1427,1896
73,2169,2169.000,92,128,195,459,786,1034,1214,1465,1867
74,2257,2257.000,73,134,180,441,796,978,1080,1336,1980
75,2267,2267.000,90,116,173,439,750,959,1087,1358,4285
76,2696,2696.000,91,105,125,369,650,818,956,1166,2074
77,2693,2693.000,90,108,135,370,656,851,979,1209,1537
78,2406,2406.000,92,119,160,414,732,926,1058,1294,1625
79,2545,2545.000,91,114,143,391,682,879,1016,1258,4697
80,2209,2209.000,85,145,182,450,781,997,1108,1338,2755
81,2122,2122.000,97,142,199,469,794,1060,1227,1502,2496
82,1927,1927.000,94,144,302,516,868,1131,1302,1739,2355
83,2140,2140.000,77,131,185,466,813,1073,1215,1601,2351
84,2037,2037.000,115,137,214,488,823,1082,1228,1631,2960
85,2268,2268.000,115,133,175,439,779,961,1073,1319,5862
