Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1589.000,0.617,0.097,0.189,0.334,1.023,1.275,1.437,2.079,5.475,1.621
5,1755.000,0.562,0.088,0.167,0.270,0.977,1.211,1.374,1.725,2.706,1.779
10,1823.000,0.540,0.089,0.160,0.311,0.929,1.178,1.320,1.620,2.990,1.852
15,1766.000,0.558,0.078,0.153,0.338,0.927,1.229,1.409,1.785,33.730,1.792
20,1676.800,0.587,0.099,0.176,0.349,1.009,1.264,1.421,1.801,8.284,1.703
25,1795.200,0.550,0.088,0.157,0.258,0.958,1.197,1.349,1.757,17.934,1.818
30,1686.400,0.584,0.097,0.177,0.353,1.003,1.256,1.402,1.764,3.098,1.712
35,1654.200,0.597,0.109,0.175,0.374,1.016,1.269,1.439,1.899,2.864,1.675
40,1714.600,0.577,0.098,0.177,0.272,1.001,1.248,1.406,1.795,2.642,1.734
45,1634.200,0.605,0.105,0.176,0.368,1.020,1.294,1.461,1.878,15.999,1.653
50,1631.000,0.606,0.131,0.178,0.379,1.027,1.292,1.451,1.815,2.843,1.651
55,1737.000,0.569,0.110,0.169,0.344,0.981,1.238,1.392,1.732,3.081,1.758
60,2101.800,0.471,0.115,0.138,0.202,0.800,1.037,1.189,1.521,2.418,2.123
65,2214.200,0.450,0.114,0.135,0.188,0.771,1.003,1.151,1.419,2.370,2.223
70,2240.200,0.445,0.073,0.133,0.181,0.771,0.979,1.119,1.390,9.850,2.249
75,2521.400,0.395,0.090,0.114,0.146,0.699,0.891,1.024,1.263,4.697,2.529
80,2087.000,0.477,0.077,0.140,0.205,0.813,1.071,1.215,1.581,2.960,2.096
85,2281.600,0.437,0.115,0.134,0.175,0.765,0.941,1.063,1.307,5.862,2.290
90,2010.200,0.495,0.090,0.140,0.240,0.853,1.085,1.241,1.584,2.573,2.018
95,2254.800,0.442,0.071,0.135,0.180,0.766,0.967,1.096,1.382,3.159,2.264
100,2075.800,0.480,0.070,0.137,0.210,0.823,1.066,1.208,1.552,2.713,2.083
105,2031.400,0.490,0.074,0.136,0.214,0.841,1.096,1.244,1.601,5.986,2.040
110,1653.600,0.602,0.122,0.184,0.376,1.022,1.259,1.417,1.802,3.976,1.662
115,2021.200,0.492,0.115,0.146,0.241,0.823,1.082,1.231,1.547,2.477,2.031
120,1740.000,0.572,0.091,0.164,0.348,0.988,1.240,1.393,1.744,3.658,1.749
125,2145.000,0.464,0.070,0.136,0.206,0.777,1.034,1.190,1.510,4.430,2.154
130,1690.600,0.589,0.092,0.173,0.362,0.991,1.264,1.431,1.876,4.390,1.699
135,2075.200,0.480,0.114,0.145,0.221,0.802,1.075,1.224,1.583,4.340,2.084
140,2159.200,0.461,0.071,0.142,0.211,0.777,1.018,1.158,1.460,4.999,2.168
145,1858.400,0.536,0.075,0.155,0.331,0.904,1.163,1.319,1.619,19.397,1.867
150,1749.800,0.569,0.094,0.167,0.358,0.944,1.231,1.427,1.942,2.850,1.758
155,1606.200,0.620,0.096,0.177,0.377,1.028,1.329,1.550,2.104,4.948,1.614
160,1819.800,0.547,0.082,0.152,0.338,0.918,1.212,1.397,1.788,2.920,1.828
165,1932.000,0.515,0.077,0.141,0.289,0.874,1.140,1.317,1.741,5.280,1.940
170,1857.000,0.536,0.077,0.155,0.304,0.913,1.174,1.336,1.708,5.046,1.866
175,2253.800,0.442,0.075,0.136,0.185,0.746,0.965,1.110,1.403,11.388,2.263
180,1858.400,0.536,0.073,0.156,0.281,0.913,1.182,1.341,1.695,2.982,1.867
185,1660.400,0.599,0.090,0.172,0.356,1.030,1.285,1.432,1.783,5.054,1.668
190,1580.400,0.630,0.089,0.185,0.396,1.058,1.335,1.521,2.075,4.773,1.588
195,1654.800,0.601,0.130,0.174,0.365,1.016,1.307,1.504,2.010,3.102,1.663
200,1620.000,0.614,0.098,0.175,0.382,1.034,1.301,1.489,1.978,5.342,1.628
205,1689.800,0.589,0.129,0.174,0.355,1.010,1.271,1.426,1.787,19.406,1.698
210,1616.000,0.616,0.129,0.182,0.389,1.043,1.290,1.460,1.866,4.574,1.624
215,2083.200,0.478,0.071,0.135,0.196,0.855,1.080,1.221,1.515,2.764,2.091
220,2306.400,0.432,0.070,0.128,0.166,0.748,0.968,1.122,1.429,3.275,2.315
225,2283.600,0.436,0.071,0.129,0.175,0.756,0.962,1.101,1.402,2.447,2.292
230,2416.800,0.412,0.114,0.132,0.158,0.726,0.899,1.028,1.296,4.887,2.427
235,2098.600,0.475,0.073,0.139,0.203,0.812,1.060,1.223,1.557,3.629,2.107
240,2152.400,0.463,0.085,0.135,0.192,0.788,1.054,1.214,1.530,5.509,2.162
245,1951.800,0.510,0.073,0.148,0.262,0.847,1.152,1.329,1.704,7.661,1.961
250,1683.200,0.591,0.089,0.182,0.351,1.005,1.254,1.426,1.799,3.580,1.692
255,1616.600,0.616,0.132,0.182,0.383,1.037,1.297,1.463,1.843,3.852,1.625
260,885.200,0.583,0.129,0.176,0.353,1.001,1.224,1.375,1.668,2.615,1.716
