Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,568.400,0.305,0.101,0.198,0.250,0.371,0.493,0.552,1.018,4.601,3.281
5,645.400,0.228,0.092,0.164,0.190,0.238,0.411,0.448,0.624,1.277,4.382
10,626.800,0.241,0.101,0.171,0.197,0.273,0.414,0.448,0.588,2.488,4.144
15,673.000,0.221,0.096,0.164,0.190,0.229,0.381,0.444,0.568,1.033,4.532
20,653.600,0.223,0.096,0.160,0.187,0.234,0.401,0.447,0.632,1.054,4.476
25,589.800,0.273,0.089,0.175,0.210,0.370,0.451,0.510,0.754,1.204,3.661
30,784.200,0.196,0.074,0.140,0.158,0.203,0.358,0.409,0.584,1.135,5.107
35,864.000,0.163,0.075,0.127,0.146,0.164,0.228,0.351,0.431,0.976,6.152
40,665.800,0.237,0.092,0.159,0.186,0.282,0.408,0.448,0.617,1.472,4.223
45,626.200,0.254,0.125,0.174,0.200,0.324,0.417,0.444,0.615,16.224,3.931
50,665.800,0.236,0.113,0.172,0.197,0.254,0.408,0.442,0.575,1.155,4.228
55,718.800,0.211,0.088,0.154,0.177,0.212,0.375,0.421,0.584,1.151,4.734
60,672.200,0.235,0.096,0.165,0.188,0.271,0.407,0.432,0.620,1.472,4.247
65,653.000,0.246,0.131,0.175,0.202,0.280,0.413,0.446,0.620,1.417,4.059
70,683.200,0.247,0.132,0.170,0.198,0.291,0.420,0.451,0.650,1.389,4.043
75,674.400,0.237,0.095,0.166,0.189,0.280,0.406,0.430,0.601,1.099,4.213
80,758.600,0.203,0.115,0.142,0.163,0.212,0.365,0.408,0.548,1.520,4.922
85,791.000,0.187,0.116,0.137,0.151,0.191,0.341,0.380,0.534,1.151,5.358
90,823.400,0.182,0.115,0.138,0.152,0.181,0.324,0.368,0.450,1.077,5.483
95,889.600,0.154,0.070,0.116,0.140,0.159,0.215,0.347,0.418,1.034,6.476
100,913.600,0.155,0.071,0.122,0.140,0.158,0.214,0.326,0.438,1.073,6.462
105,868.800,0.166,0.072,0.135,0.151,0.169,0.222,0.322,0.434,1.004,6.009
110,795.600,0.186,0.078,0.140,0.158,0.198,0.312,0.375,0.454,0.821,5.364
115,972.000,0.147,0.071,0.117,0.142,0.159,0.183,0.229,0.374,0.767,6.811
120,864.600,0.170,0.116,0.140,0.151,0.167,0.219,0.337,0.399,0.964,5.895
125,856.000,0.173,0.076,0.140,0.154,0.176,0.229,0.341,0.463,1.081,5.779
130,670.800,0.228,0.097,0.168,0.193,0.235,0.402,0.449,0.610,1.868,4.379
135,675.000,0.237,0.095,0.171,0.198,0.261,0.402,0.440,0.588,1.177,4.211
140,691.800,0.240,0.097,0.170,0.196,0.270,0.406,0.438,0.600,1.243,4.169
145,634.600,0.252,0.099,0.172,0.199,0.298,0.425,0.462,0.751,1.485,3.976
150,693.200,0.231,0.092,0.168,0.191,0.247,0.403,0.434,0.586,1.231,4.332
155,705.400,0.215,0.110,0.159,0.182,0.221,0.374,0.430,0.572,1.191,4.649
160,816.400,0.183,0.075,0.135,0.153,0.189,0.323,0.390,0.498,1.487,5.476
165,897.200,0.159,0.074,0.112,0.128,0.167,0.257,0.384,0.451,1.189,6.302
170,1015.800,0.134,0.071,0.103,0.124,0.149,0.172,0.211,0.372,0.947,7.450
175,816.600,0.193,0.099,0.149,0.172,0.203,0.278,0.368,0.455,1.125,5.192
180,803.600,0.191,0.116,0.141,0.157,0.196,0.340,0.382,0.484,1.180,5.222
185,919.600,0.174,0.117,0.142,0.156,0.173,0.225,0.345,0.413,0.813,5.763
190,730.800,0.206,0.088,0.150,0.181,0.223,0.357,0.410,0.493,1.127,4.856
195,648.200,0.242,0.093,0.167,0.195,0.292,0.417,0.441,0.620,1.039,4.129
200,685.600,0.237,0.130,0.171,0.193,0.265,0.409,0.436,0.576,0.989,4.223
205,682.400,0.233,0.132,0.169,0.190,0.264,0.405,0.429,0.523,0.763,4.292
210,762.000,0.199,0.073,0.142,0.161,0.205,0.357,0.407,0.586,1.209,5.037
215,863.200,0.170,0.090,0.138,0.149,0.167,0.230,0.349,0.430,0.985,5.871
220,712.600,0.220,0.092,0.156,0.181,0.235,0.386,0.426,0.497,1.004,4.555
225,769.600,0.197,0.093,0.148,0.171,0.202,0.334,0.411,0.547,1.270,5.075
230,749.800,0.208,0.094,0.156,0.178,0.209,0.367,0.421,0.523,1.391,4.800
235,685.400,0.227,0.115,0.164,0.185,0.228,0.398,0.435,0.626,1.397,4.406
240,683.400,0.221,0.096,0.162,0.184,0.232,0.397,0.426,0.485,1.340,4.525
245,757.600,0.188,0.072,0.131,0.163,0.204,0.353,0.400,0.471,1.302,5.320
250,774.400,0.186,0.092,0.137,0.159,0.191,0.331,0.402,0.497,2.035,5.367
255,671.800,0.235,0.104,0.162,0.188,0.277,0.410,0.439,0.606,1.055,4.255
260,654.000,0.240,0.108,0.169,0.196,0.272,0.411,0.445,0.606,1.137,4.166
265,441.400,0.212,0.120,0.171,0.193,0.221,0.293,0.394,0.462,0.795,4.712
