Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,289.600,1.223,0.661,1.000,1.161,1.385,1.626,1.818,2.320,4.873,0.817
5,323.200,1.140,0.636,0.938,1.093,1.279,1.490,1.630,2.071,3.105,0.878
10,313.800,1.138,0.636,0.946,1.108,1.283,1.461,1.609,1.962,4.917,0.878
15,339.600,1.121,0.646,0.937,1.079,1.260,1.441,1.602,1.839,2.802,0.892
20,354.600,1.107,0.620,0.903,1.046,1.208,1.395,1.529,2.021,39.105,0.904
25,296.400,1.270,0.616,0.961,1.149,1.475,1.930,2.147,2.542,3.296,0.788
30,372.200,0.990,0.479,0.783,0.928,1.125,1.332,1.564,2.064,2.963,1.010
35,429.600,0.862,0.440,0.710,0.822,0.970,1.143,1.253,1.546,3.470,1.160
40,324.000,1.129,0.519,0.912,1.060,1.282,1.520,1.786,2.268,3.514,0.886
45,309.800,1.144,0.643,0.942,1.096,1.288,1.487,1.652,2.276,2.912,0.875
50,325.800,1.113,0.638,0.928,1.072,1.251,1.420,1.586,2.007,2.811,0.898
55,365.800,1.057,0.610,0.893,1.009,1.171,1.356,1.518,1.878,2.743,0.946
60,330.600,1.100,0.644,0.931,1.055,1.221,1.404,1.524,1.952,4.927,0.909
65,335.000,1.134,0.639,0.960,1.083,1.258,1.448,1.608,2.051,2.770,0.882
70,313.400,1.143,0.634,0.941,1.092,1.284,1.488,1.631,2.201,5.102,0.875
75,330.000,1.100,0.632,0.924,1.060,1.235,1.412,1.525,1.855,3.361,0.909
80,375.600,0.995,0.492,0.808,0.967,1.146,1.311,1.446,1.750,2.635,1.005
85,407.800,0.929,0.503,0.758,0.887,1.062,1.233,1.335,1.664,2.909,1.076
90,407.400,0.912,0.502,0.741,0.863,1.033,1.214,1.339,1.661,2.545,1.097
95,470.600,0.829,0.441,0.677,0.790,0.940,1.109,1.223,1.490,2.456,1.206
100,462.000,0.861,0.462,0.713,0.822,0.972,1.127,1.219,1.530,2.260,1.161
105,445.800,0.865,0.457,0.716,0.819,0.975,1.157,1.263,1.555,2.713,1.156
110,406.400,0.923,0.448,0.747,0.886,1.060,1.243,1.350,1.624,2.294,1.083
115,473.400,0.785,0.447,0.654,0.750,0.875,1.034,1.152,1.403,2.253,1.274
120,442.600,0.835,0.498,0.697,0.792,0.930,1.081,1.192,1.479,3.409,1.198
125,415.600,0.895,0.479,0.737,0.854,1.013,1.175,1.302,1.649,2.389,1.117
130,339.200,1.130,0.645,0.908,1.051,1.261,1.531,1.867,2.280,3.067,0.885
135,337.800,1.110,0.633,0.928,1.054,1.225,1.432,1.627,2.095,5.271,0.901
140,342.200,1.085,0.631,0.912,1.045,1.204,1.395,1.538,1.962,2.898,0.921
145,323.800,1.163,0.676,0.961,1.094,1.262,1.539,1.799,2.296,3.970,0.860
150,358.800,1.060,0.595,0.896,1.028,1.183,1.347,1.464,1.770,3.635,0.944
155,351.000,1.068,0.627,0.905,1.021,1.167,1.354,1.516,2.021,2.517,0.936
160,402.600,0.953,0.467,0.786,0.924,1.087,1.259,1.388,1.658,5.814,1.049
165,454.600,0.845,0.462,0.662,0.790,0.964,1.161,1.313,1.661,2.581,1.184
170,513.400,0.741,0.434,0.625,0.712,0.821,0.955,1.040,1.286,3.507,1.349
175,392.800,0.951,0.509,0.790,0.912,1.068,1.240,1.359,1.699,2.854,1.051
180,409.200,0.918,0.510,0.750,0.876,1.028,1.202,1.335,1.784,2.589,1.089
185,453.400,0.819,0.490,0.662,0.764,0.911,1.079,1.192,1.794,5.011,1.221
190,374.800,1.018,0.510,0.849,0.975,1.133,1.323,1.446,1.933,4.257,0.982
195,333.000,1.118,0.612,0.937,1.070,1.235,1.408,1.568,2.179,5.373,0.895
200,341.800,1.074,0.644,0.920,1.039,1.177,1.355,1.493,1.776,2.363,0.931
205,350.400,1.067,0.637,0.900,1.030,1.191,1.368,1.499,1.828,2.603,0.937
210,392.200,0.965,0.500,0.782,0.920,1.095,1.283,1.444,1.831,6.657,1.037
215,444.600,0.854,0.500,0.712,0.815,0.962,1.107,1.212,1.504,2.180,1.171
220,360.400,1.031,0.512,0.850,0.998,1.161,1.337,1.464,1.858,2.632,0.970
225,386.400,0.988,0.497,0.814,0.941,1.121,1.306,1.495,1.988,4.756,1.012
230,352.400,1.057,0.634,0.876,0.998,1.151,1.361,1.592,2.143,3.028,0.946
235,350.400,1.036,0.576,0.879,0.992,1.131,1.306,1.440,1.988,2.774,0.965
240,363.400,1.036,0.604,0.878,1.001,1.165,1.337,1.446,1.711,2.382,0.966
245,400.600,0.959,0.456,0.795,0.928,1.083,1.243,1.363,1.798,2.530,1.043
250,384.000,0.958,0.509,0.793,0.917,1.082,1.264,1.381,1.700,3.213,1.044
255,324.800,1.128,0.626,0.936,1.068,1.242,1.451,1.694,2.212,5.024,0.886
260,336.800,1.114,0.634,0.921,1.047,1.212,1.441,1.675,2.307,5.432,0.897
265,211.000,1.027,0.552,0.881,0.993,1.122,1.284,1.409,1.750,5.500,0.973
