Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,321.800,0.283,0.100,0.176,0.211,0.277,0.456,0.530,1.205,5.475,3.539
5,347.800,0.226,0.095,0.161,0.188,0.240,0.392,0.447,0.695,1.999,4.420
10,360.000,0.221,0.096,0.153,0.182,0.241,0.400,0.435,0.592,1.309,4.519
15,350.600,0.223,0.083,0.146,0.172,0.243,0.395,0.443,0.696,1.706,4.490
20,345.000,0.248,0.108,0.166,0.198,0.276,0.422,0.453,0.694,1.770,4.030
25,359.600,0.223,0.093,0.149,0.180,0.229,0.397,0.444,0.849,3.696,4.491
30,349.400,0.244,0.097,0.165,0.196,0.267,0.413,0.453,0.733,1.899,4.105
35,326.800,0.251,0.116,0.163,0.194,0.314,0.418,0.460,0.679,2.399,3.985
40,337.600,0.235,0.109,0.170,0.199,0.250,0.397,0.435,0.600,1.514,4.263
45,334.400,0.243,0.110,0.164,0.193,0.276,0.411,0.447,0.666,2.076,4.120
50,330.800,0.246,0.135,0.166,0.194,0.290,0.408,0.450,0.616,1.565,4.066
55,357.200,0.231,0.112,0.158,0.188,0.255,0.399,0.436,0.605,1.828,4.330
60,414.200,0.180,0.118,0.133,0.148,0.182,0.308,0.362,0.501,1.359,5.563
65,454.400,0.174,0.117,0.131,0.144,0.173,0.310,0.357,0.451,1.326,5.756
70,449.600,0.171,0.084,0.130,0.143,0.170,0.237,0.351,0.544,1.320,5.863
75,518.400,0.143,0.093,0.107,0.122,0.143,0.176,0.287,0.472,1.843,6.979
80,421.400,0.186,0.086,0.134,0.152,0.187,0.340,0.380,0.518,1.259,5.372
85,453.200,0.162,0.117,0.130,0.142,0.162,0.208,0.324,0.390,1.108,6.162
90,393.400,0.190,0.094,0.134,0.152,0.195,0.346,0.385,0.482,1.492,5.250
95,431.800,0.174,0.084,0.131,0.146,0.173,0.272,0.362,0.472,1.398,5.736
100,431.000,0.180,0.074,0.129,0.148,0.184,0.321,0.390,0.565,2.048,5.549
105,400.800,0.186,0.087,0.128,0.149,0.191,0.345,0.421,0.578,1.279,5.371
110,328.400,0.253,0.127,0.171,0.203,0.317,0.419,0.454,0.648,1.291,3.947
115,406.400,0.195,0.116,0.141,0.158,0.203,0.356,0.404,0.463,1.141,5.115
120,352.600,0.233,0.093,0.155,0.188,0.261,0.403,0.444,0.660,1.480,4.288
125,426.800,0.180,0.074,0.131,0.147,0.184,0.320,0.384,0.553,1.560,5.557
130,333.600,0.244,0.096,0.162,0.190,0.280,0.410,0.444,0.713,1.979,4.096
135,426.400,0.192,0.114,0.138,0.160,0.205,0.315,0.405,0.528,0.850,5.197
140,427.600,0.183,0.073,0.135,0.155,0.194,0.304,0.373,0.503,1.222,5.479
145,368.600,0.219,0.075,0.148,0.175,0.248,0.389,0.435,0.626,1.138,4.569
150,333.800,0.238,0.094,0.157,0.190,0.279,0.409,0.447,0.653,1.471,4.197
155,323.400,0.253,0.100,0.163,0.196,0.311,0.425,0.490,0.736,2.409,3.956
160,370.600,0.224,0.086,0.145,0.173,0.258,0.392,0.434,0.673,2.502,4.466
165,386.000,0.198,0.087,0.134,0.153,0.209,0.358,0.401,0.591,2.106,5.045
170,367.400,0.215,0.080,0.148,0.172,0.233,0.385,0.424,0.575,1.944,4.655
175,455.800,0.171,0.081,0.131,0.146,0.170,0.229,0.351,0.489,1.318,5.855
180,372.800,0.219,0.080,0.148,0.175,0.228,0.392,0.446,0.632,2.013,4.563
185,315.800,0.237,0.095,0.161,0.195,0.262,0.420,0.472,0.643,1.872,4.223
190,308.400,0.267,0.097,0.172,0.206,0.354,0.446,0.489,0.754,1.835,3.739
195,330.400,0.250,0.133,0.163,0.190,0.308,0.414,0.457,0.702,2.810,4.007
200,319.800,0.252,0.110,0.162,0.193,0.342,0.418,0.468,0.730,2.012,3.962
205,333.600,0.240,0.133,0.164,0.191,0.275,0.402,0.437,0.612,1.366,4.163
210,319.800,0.256,0.135,0.167,0.197,0.337,0.418,0.461,0.701,2.629,3.903
215,410.000,0.174,0.074,0.119,0.150,0.188,0.271,0.377,0.512,1.652,5.737
220,465.200,0.156,0.072,0.122,0.138,0.159,0.212,0.341,0.471,1.362,6.422
225,458.000,0.163,0.073,0.124,0.140,0.162,0.279,0.356,0.511,1.506,6.151
230,508.400,0.160,0.116,0.129,0.141,0.159,0.206,0.317,0.421,1.831,6.234
235,430.000,0.185,0.077,0.134,0.151,0.190,0.320,0.385,0.581,1.581,5.407
240,453.400,0.177,0.090,0.131,0.144,0.173,0.316,0.362,0.538,1.489,5.635
245,394.200,0.211,0.076,0.142,0.167,0.229,0.386,0.436,0.617,1.823,4.746
250,345.800,0.250,0.095,0.172,0.202,0.273,0.414,0.459,0.661,3.580,3.995
255,314.600,0.245,0.134,0.169,0.197,0.268,0.413,0.457,0.658,1.353,4.088
260,179.400,0.235,0.130,0.164,0.192,0.258,0.401,0.436,0.562,1.293,4.263
