Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,278.800,1.263,0.571,1.025,1.201,1.413,1.703,1.874,2.418,7.960,0.792
5,333.000,1.185,0.636,0.987,1.139,1.325,1.537,1.684,2.121,3.324,0.844
10,333.000,1.191,0.619,0.989,1.148,1.336,1.567,1.711,2.070,3.167,0.840
15,320.400,1.198,0.617,1.002,1.153,1.343,1.571,1.689,2.032,2.508,0.835
20,327.200,1.143,0.633,0.962,1.098,1.275,1.486,1.616,2.018,2.707,0.875
25,277.000,1.333,0.611,1.022,1.210,1.550,2.011,2.224,2.660,4.602,0.750
30,367.800,1.054,0.478,0.831,0.985,1.187,1.418,1.705,2.302,3.091,0.949
35,447.400,0.906,0.478,0.753,0.873,1.025,1.176,1.278,1.563,2.786,1.104
40,324.200,1.183,0.548,0.949,1.134,1.326,1.587,1.778,2.405,6.095,0.845
45,326.800,1.210,0.675,1.014,1.161,1.362,1.575,1.703,2.205,3.651,0.826
50,338.400,1.148,0.626,0.964,1.102,1.277,1.475,1.637,2.128,2.847,0.871
55,342.600,1.094,0.638,0.918,1.052,1.223,1.399,1.542,1.877,3.253,0.914
60,336.000,1.162,0.664,0.976,1.121,1.300,1.490,1.621,2.013,4.272,0.860
65,317.200,1.174,0.658,0.996,1.138,1.316,1.489,1.610,1.945,3.038,0.852
70,328.400,1.174,0.650,0.970,1.125,1.308,1.531,1.674,2.175,2.810,0.852
75,339.200,1.157,0.680,0.969,1.112,1.281,1.462,1.603,2.072,13.617,0.864
80,382.800,1.026,0.525,0.833,0.999,1.178,1.367,1.482,1.809,2.403,0.974
85,407.600,0.973,0.527,0.808,0.940,1.103,1.256,1.358,1.733,5.103,1.028
90,416.000,0.964,0.517,0.787,0.924,1.099,1.294,1.412,1.678,2.567,1.038
95,452.400,0.880,0.456,0.713,0.843,1.009,1.177,1.297,1.569,3.176,1.136
100,425.800,0.908,0.485,0.766,0.870,1.022,1.164,1.257,1.532,6.355,1.102
105,433.600,0.898,0.452,0.737,0.864,1.020,1.182,1.275,1.628,5.136,1.114
110,408.400,0.970,0.500,0.779,0.938,1.135,1.312,1.398,1.646,2.308,1.031
115,493.000,0.823,0.455,0.679,0.785,0.929,1.070,1.169,1.437,7.358,1.215
120,460.400,0.877,0.499,0.723,0.830,0.988,1.145,1.259,1.578,2.158,1.140
125,425.600,0.946,0.495,0.782,0.905,1.064,1.217,1.335,1.669,15.887,1.057
130,331.200,1.155,0.637,0.943,1.091,1.271,1.547,1.779,2.341,2.773,0.866
135,327.000,1.149,0.625,0.958,1.103,1.278,1.479,1.698,2.162,2.880,0.870
140,329.200,1.137,0.648,0.961,1.102,1.268,1.430,1.569,1.971,2.448,0.879
145,314.200,1.209,0.632,0.990,1.138,1.323,1.619,1.922,2.350,5.364,0.827
150,339.800,1.087,0.609,0.911,1.052,1.217,1.377,1.515,1.951,2.643,0.920
155,359.400,1.094,0.644,0.921,1.048,1.213,1.401,1.549,1.973,2.662,0.914
160,397.000,0.978,0.474,0.807,0.947,1.111,1.297,1.416,1.693,2.421,1.023
165,455.600,0.873,0.435,0.701,0.826,0.999,1.169,1.300,1.700,4.270,1.145
170,532.600,0.765,0.439,0.649,0.736,0.848,0.975,1.070,1.306,1.924,1.308
175,391.000,0.987,0.520,0.826,0.954,1.102,1.261,1.389,1.933,4.799,1.013
180,407.600,0.947,0.520,0.768,0.899,1.063,1.255,1.383,1.970,4.953,1.056
185,451.800,0.851,0.498,0.688,0.794,0.939,1.136,1.291,1.844,3.770,1.176
190,367.200,1.048,0.513,0.889,1.013,1.159,1.332,1.456,1.888,4.747,0.954
195,335.600,1.145,0.652,0.962,1.098,1.268,1.441,1.603,2.091,4.166,0.874
200,340.400,1.116,0.646,0.950,1.074,1.240,1.403,1.551,1.900,2.479,0.896
205,339.400,1.111,0.658,0.940,1.060,1.233,1.409,1.587,2.086,2.987,0.900
210,386.200,0.994,0.517,0.805,0.953,1.144,1.316,1.443,1.732,2.789,1.006
215,438.200,0.902,0.501,0.738,0.865,1.017,1.188,1.302,1.559,3.917,1.108
220,362.400,1.069,0.533,0.885,1.036,1.215,1.398,1.521,1.812,2.410,0.936
225,373.200,1.030,0.494,0.850,0.995,1.171,1.351,1.509,2.025,4.470,0.971
230,355.400,1.097,0.649,0.914,1.036,1.195,1.432,1.639,2.200,3.883,0.912
235,362.000,1.088,0.648,0.915,1.029,1.178,1.376,1.572,2.194,4.102,0.919
240,360.600,1.079,0.643,0.909,1.046,1.209,1.396,1.503,1.775,2.320,0.927
245,393.800,1.012,0.476,0.836,0.969,1.151,1.335,1.456,1.869,2.947,0.989
250,406.400,1.008,0.517,0.830,0.971,1.141,1.309,1.432,1.863,3.003,0.992
255,332.200,1.177,0.641,0.972,1.110,1.312,1.538,1.781,2.298,3.093,0.850
260,326.400,1.174,0.659,0.966,1.103,1.293,1.520,1.832,2.412,2.787,0.852
265,216.800,1.051,0.598,0.905,1.019,1.159,1.326,1.433,1.800,2.362,0.952
