Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,547.600,1.614,0.779,1.209,1.453,1.831,2.367,2.748,4.089,6.479,0.619
5,680.000,1.323,0.630,1.065,1.279,1.520,1.780,1.985,2.379,4.220,0.756
10,682.200,1.320,0.719,1.108,1.283,1.485,1.714,1.841,2.160,6.238,0.758
15,733.200,1.222,0.625,0.976,1.183,1.414,1.642,1.811,2.239,3.135,0.818
20,857.800,1.047,0.566,0.837,0.991,1.198,1.413,1.581,1.929,3.478,0.955
25,807.400,1.115,0.604,0.900,1.056,1.256,1.508,1.667,1.993,5.608,0.897
30,809.000,1.100,0.632,0.897,1.039,1.241,1.463,1.642,1.969,4.113,0.909
35,816.000,1.093,0.604,0.882,1.023,1.230,1.460,1.622,2.056,14.362,0.915
40,839.000,1.073,0.606,0.879,1.025,1.216,1.410,1.568,1.936,3.647,0.932
45,811.000,1.112,0.615,0.848,1.000,1.244,1.647,1.931,2.428,3.314,0.899
50,913.200,0.985,0.596,0.823,0.928,1.098,1.282,1.408,1.709,3.712,1.016
55,928.200,0.976,0.515,0.772,0.917,1.115,1.345,1.513,1.893,5.388,1.025
60,0.400,1.166,1.123,1.123,1.209,1.209,1.209,1.209,1.209,1.209,0.858
