Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1480,1480.000,56,116,269,665,1130,1462,1635,2011,7799
1,1708,1708.000,52,99,161,575,1003,1277,1436,1669,1990
2,1617,1617.000,81,98,786,605,1031,1281,1414,1731,2347
3,1581,1581.000,81,99,269,619,1088,1352,1506,1825,4903
4,1365,1365.000,80,103,370,723,1296,1520,1701,2260,4844
5,1381,1381.000,49,98,343,715,1307,1537,1686,2029,2817
6,1480,1480.000,50,95,145,668,1244,1476,1597,1838,4047
7,1342,1342.000,78,100,933,734,1316,1536,1698,2011,2675
8,1451,1451.000,72,97,744,680,1209,1464,1609,2010,3118
9,1785,1785.000,67,87,204,553,978,1206,1317,1601,2245
10,1746,1746.000,70,88,233,565,979,1269,1418,1700,2179
11,2044,2044.000,43,49,138,485,858,1086,1240,1551,25871
12,2153,2153.000,43,81,526,460,780,1002,1138,1394,1895
13,2037,2037.000,72,84,575,486,830,1034,1157,1387,2313
14,1850,1850.000,72,85,606,533,924,1158,1287,1626,2162
15,1811,1811.000,70,87,166,545,956,1205,1356,1643,3600
16,1906,1906.000,69,85,606,518,887,1124,1239,1488,2018
17,1472,1472.000,71,91,158,668,1125,1758,1963,2326,3099
18,1729,1729.000,71,89,356,570,1004,1234,1347,1570,2380
19,1923,1923.000,68,87,139,513,890,1167,1285,1605,2530
20,1994,1994.000,72,85,604,495,815,1049,1197,1516,1905
21,1851,1851.000,70,87,599,533,913,1155,1274,1607,2988
22,1832,1832.000,58,87,149,538,944,1197,1336,1678,2509
23,1723,1723.000,73,91,299,573,1025,1252,1413,1690,3480
24,1755,1755.000,42,90,649,563,972,1211,1351,1655,3477
25,2027,2027.000,37,83,125,488,854,1073,1218,1573,2951
26,1673,1673.000,70,87,678,589,1049,1248,1395,1745,4975
27,1896,1896.000,38,84,106,520,920,1173,1329,1691,12908
28,1996,1996.000,37,83,564,495,841,1084,1230,1508,1907
29,1784,1784.000,37,84,627,553,976,1183,1307,1580,1933
30,1764,1764.000,76,84,654,559,992,1226,1328,1642,1918
31,1745,1745.000,75,84,300,567,1005,1236,1383,1709,1948
32,1882,1882.000,73,83,160,524,918,1166,1299,1568,2091
33,1824,1824.000,73,84,640,542,938,1163,1304,1578,2053
34,1838,1838.000,77,84,152,537,982,1188,1316,1582,2239
35,1666,1666.000,77,84,657,595,1042,1299,1439,1759,3408
36,1756,1756.000,77,83,649,565,981,1214,1357,1724,2119
37,1605,1605.000,78,88,696,618,1093,1345,1481,1843,2648
38,1751,1751.000,73,84,678,567,999,1230,1366,1648,2413
39,1633,1633.000,77,89,720,608,1072,1310,1475,1736,2747
40,1552,1552.000,75,90,722,638,1099,1371,1519,1880,2716
41,1998,1998.000,37,82,142,497,880,1130,1279,1629,3730
42,1902,1902.000,76,83,106,521,956,1163,1281,1467,2444
43,1718,1718.000,74,83,719,577,1016,1220,1352,1646,4067
44,1812,1812.000,77,83,138,547,973,1195,1331,1600,4088
45,1806,1806.000,74,83,149,549,980,1205,1349,1645,2543
46,1740,1740.000,71,85,712,571,982,1210,1327,1635,5643
47,1717,1717.000,71,88,208,577,1032,1269,1441,1714,2777
48,1718,1718.000,71,88,683,577,1004,1251,1388,1658,3073
49,1815,1815.000,69,86,181,546,961,1207,1327,1571,4884
50,1837,1837.000,70,87,230,540,941,1174,1317,1557,2931
51,1748,1748.000,68,88,673,567,991,1216,1361,1683,1966
52,1725,1725.000,65,85,685,575,994,1214,1341,1592,19893
53,1834,1834.000,74,83,286,541,947,1176,1319,1661,2024
54,1751,1751.000,38,83,617,567,1008,1233,1369,1645,3373
55,1838,1838.000,75,82,140,539,946,1242,1380,1660,2877
56,2007,2007.000,38,82,604,494,819,1067,1220,1487,2105
57,1767,1767.000,52,83,689,561,964,1220,1345,1665,2074
58,1634,1634.000,78,90,609,607,1073,1358,1500,1815,2356
59,1773,1773.000,39,84,155,560,999,1245,1387,1720,2869
60,3,3.000,98,98,102,485,1257,1257,1257,1257,1257
