Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1055.200,0.934,0.060,0.144,0.919,1.514,1.980,2.419,3.869,32.097,1.071
5,1271.800,0.776,0.077,0.119,0.851,1.370,1.628,1.807,2.201,6.982,1.288
10,1448.600,0.683,0.052,0.110,0.620,1.195,1.513,1.727,2.105,12.270,1.464
15,1266.600,0.781,0.061,0.120,0.493,1.370,1.694,1.878,2.240,7.236,1.281
20,1449.200,0.683,0.092,0.106,0.484,1.195,1.506,1.670,2.031,19.553,1.465
25,1468.400,0.673,0.049,0.112,0.647,1.157,1.478,1.667,2.063,8.875,1.485
30,1428.000,0.693,0.056,0.117,0.373,1.199,1.532,1.741,2.191,7.664,1.444
35,1439.200,0.687,0.050,0.117,0.359,1.186,1.509,1.756,2.350,3.998,1.455
40,1504.200,0.658,0.048,0.110,0.446,1.149,1.469,1.650,1.998,13.614,1.519
45,1695.800,0.586,0.047,0.100,0.340,1.012,1.283,1.458,1.835,2.618,1.707
50,1797.000,0.553,0.047,0.096,0.556,0.953,1.218,1.372,1.739,5.176,1.807
55,1675.200,0.594,0.047,0.096,0.309,1.050,1.360,1.548,1.992,5.257,1.682
60,0.800,0.728,0.112,0.116,1.053,1.629,1.629,1.629,1.629,1.629,1.375
