Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,UpdateCo2,1768098630.298603,2375,0,1
1,UpdateCFP,1768098630.301351,10524,0,1
2,UpdateCo2,1768098630.311914,2035,0,1
2,UpdateCo2,1768098630.314009,1341,0,1
2,UpdateCo2,1768098630.315366,759,0,1
1,UpdateCFP,1768098630.316139,4835,0,1
2,UpdateCo2,1768098630.321008,1741,0,1
2,UpdateCo2,1768098630.322773,1609,0,1
2,UpdateCo2,1768098630.324422,2021,0,1
2,UpdateCo2,1768098630.326475,1620,0,1
1,UpdateCFP,1768098630.328125,4842,0,1
1,UpdateCFP,1768098630.333016,5589,0,1
2,UpdateCo2,1768098630.338645,1643,0,1
2,UpdateCo2,1768098630.340328,1910,0,1
1,UpdateCFP,1768098630.342276,5115,0,1
1,UpdateCFP,1768098630.347442,4391,0,1
2,UpdateCo2,1768098630.351872,1188,0,1
1,UpdateCFP,1768098630.353100,4985,0,1
1,UpdateCFP,1768098630.358124,5305,0,1
2,UpdateCo2,1768098630.363469,1804,0,1
1,UpdateCFP,1768098630.365312,4404,0,1
1,UpdateCFP,1768098630.369756,3748,0,1
2,UpdateCo2,1768098630.373542,858,0,1
2,UpdateCo2,1768098630.374434,887,0,1
1,UpdateCFP,1768098630.375348,4096,0,1
2,UpdateCo2,1768098630.379484,1773,0,1
1,UpdateCFP,1768098630.381297,4911,0,1
1,UpdateCFP,1768098630.386248,5711,0,1
2,UpdateCo2,1768098630.392020,2153,0,1
2,UpdateCo2,1768098630.394213,1596,0,1
1,UpdateCFP,1768098630.395840,5665,0,1
2,UpdateCo2,1768098630.401546,1831,0,1
1,UpdateCFP,1768098630.403418,5296,0,1
1,UpdateCFP,1768098630.408754,3675,0,1
2,UpdateCo2,1768098630.412469,1011,0,1
2,UpdateCo2,1768098630.413515,1070,0,1
1,UpdateCFP,1768098630.414613,4555,0,1
1,UpdateCFP,1768098630.419208,4947,0,1
1,UpdateCFP,1768098630.424195,4634,0,1
1,UpdateCFP,1768098630.428868,4186,0,1
2,UpdateCo2,1768098630.433095,1595,0,1
2,UpdateCo2,1768098630.434730,1045,0,1
1,UpdateCFP,1768098630.435808,3703,0,1
1,UpdateCFP,1768098630.439588,4344,0,1
2,UpdateCo2,1768098630.443979,1742,0,1
1,UpdateCFP,1768098630.445762,4563,0,1
1,UpdateCFP,1768098630.450366,4358,0,1
1,UpdateCFP,1768098630.454765,3422,0,1
2,UpdateCo2,1768098630.458222,795,0,1
1,UpdateCFP,1768098630.459046,5424,0,1
1,UpdateCFP,1768098630.464511,3868,0,1
1,UpdateCFP,1768098630.468418,4748,0,1
1,UpdateCFP,1768098630.473206,3701,0,1
2,UpdateCo2,1768098630.476948,2021,0,1
2,UpdateCo2,1768098630.479031,1704,0,1
2,UpdateCo2,1768098630.480775,2799,0,1
2,UpdateCo2,1768098630.483609,1221,0,1
1,UpdateCFP,1768098630.484861,5108,0,1
2,UpdateCo2,1768098630.490031,1651,0,1
2,UpdateCo2,1768098630.491724,1708,0,1
1,UpdateCFP,1768098630.493474,4991,0,1
1,UpdateCFP,1768098630.498506,5150,0,1
2,UpdateCo2,1768098630.503697,1017,0,1
2,UpdateCo2,1768098630.504752,791,0,1
2,UpdateCo2,1768098630.505574,764,0,1
2,UpdateCo2,1768098630.506368,644,0,1
1,UpdateCFP,1768098630.507037,4520,0,1
2,UpdateCo2,1768098630.511597,1670,0,1
1,UpdateCFP,1768098630.513308,5308,0,1
1,UpdateCFP,1768098630.518656,5053,0,1
1,UpdateCFP,1768098630.523750,6149,0,1
1,UpdateCFP,1768098630.529939,5281,0,1
2,UpdateCo2,1768098630.535266,1503,0,1
2,UpdateCo2,1768098630.536810,1355,0,1
2,UpdateCo2,1768098630.538205,636,0,1
2,UpdateCo2,1768098630.538868,637,0,1
1,UpdateCFP,1768098630.539533,4883,0,1
1,UpdateCFP,1768098630.544456,3869,0,1
1,UpdateCFP,1768098630.548364,4179,0,1
1,UpdateCFP,1768098630.552583,4389,0,1
2,UpdateCo2,1768098630.557030,1242,0,1
2,UpdateCo2,1768098630.558304,653,0,1
1,UpdateCFP,1768098630.559003,4971,0,1
2,UpdateCo2,1768098630.564034,2851,0,1
2,UpdateCo2,1768098630.566926,1801,0,1
1,UpdateCFP,1768098630.568761,4973,0,1
2,UpdateCo2,1768098630.573776,1181,0,1
2,UpdateCo2,1768098630.575012,2794,0,1
2,UpdateCo2,1768098630.578399,1703,0,1
1,UpdateCFP,1768098630.580146,5725,0,1
2,UpdateCo2,1768098630.585916,1166,0,1
2,UpdateCo2,1768098630.587124,679,0,1
1,UpdateCFP,1768098630.587831,3905,0,1
1,UpdateCFP,1768098630.591779,4053,0,1
1,UpdateCFP,1768098630.595875,3837,0,1
2,UpdateCo2,1768098630.599756,601,0,1
2,UpdateCo2,1768098630.600393,375,0,1
2,UpdateCo2,1768098630.600792,351,0,1
1,UpdateCFP,1768098630.601166,2748,0,1
2,UpdateCo2,1768098630.603948,416,0,1
1,UpdateCFP,1768098630.604478,2480,0,1
1,UpdateCFP,1768098630.607023,2313,0,1
1,UpdateCFP,1768098630.609374,2418,0,1
2,UpdateCo2,1768098630.611835,531,0,1
2,UpdateCo2,1768098630.612401,345,0,1
2,UpdateCo2,1768098630.612769,315,0,1
1,UpdateCFP,1768098630.613106,2252,0,1
2,UpdateCo2,1768098630.615391,333,0,1
1,UpdateCFP,1768098630.615750,2163,0,1
2,UpdateCo2,1768098630.617956,405,0,1
2,UpdateCo2,1768098630.618390,307,0,1
2,UpdateCo2,1768098630.618727,315,0,1
2,UpdateCo2,1768098630.619063,336,0,1
2,UpdateCo2,1768098630.619423,302,0,1
2,UpdateCo2,1768098630.619750,313,0,1
1,UpdateCFP,1768098630.620093,2845,0,1
2,UpdateCo2,1768098630.623000,1160,0,1
1,UpdateCFP,1768098630.624204,2650,0,1
2,UpdateCo2,1768098630.626898,392,0,1
1,UpdateCFP,1768098630.627318,2492,0,1
2,UpdateCo2,1768098630.629853,357,0,1
1,UpdateCFP,1768098630.630237,1980,0,1
2,UpdateCo2,1768098630.632250,310,0,1
2,UpdateCo2,1768098630.632584,292,0,1
2,UpdateCo2,1768098630.632898,334,0,1
2,UpdateCo2,1768098630.633254,284,0,1
2,UpdateCo2,1768098630.633563,278,0,1
2,UpdateCo2,1768098630.633894,334,0,1
1,UpdateCFP,1768098630.634280,2383,0,1
1,UpdateCFP,1768098630.636708,1863,0,1
2,UpdateCo2,1768098630.638603,288,0,1
1,UpdateCFP,1768098630.638914,1786,0,1
1,UpdateCFP,1768098630.640732,1689,0,1
2,UpdateCo2,1768098630.642450,279,0,1
1,UpdateCFP,1768098630.642756,1609,0,1
1,UpdateCFP,1768098630.644395,1565,0,1
2,UpdateCo2,1768098630.646000,335,0,1
1,UpdateCFP,1768098630.646362,1685,0,1
2,UpdateCo2,1768098630.648077,277,0,1
1,UpdateCFP,1768098630.648377,2245,0,1
1,UpdateCFP,1768098630.650653,2082,0,1
2,UpdateCo2,1768098630.652778,314,0,1
2,UpdateCo2,1768098630.653119,326,0,1
1,UpdateCFP,1768098630.653467,2840,0,1
2,UpdateCo2,1768098630.656350,315,0,1
2,UpdateCo2,1768098630.656692,271,0,1
1,UpdateCFP,1768098630.656997,2747,0,1
1,UpdateCFP,1768098630.659789,2815,0,1
2,UpdateCo2,1768098630.662648,318,0,1
1,UpdateCFP,1768098630.663007,1908,0,1
1,UpdateCFP,1768098630.664947,2134,0,1
2,UpdateCo2,1768098630.667125,328,0,1
2,UpdateCo2,1768098630.667479,331,0,1
1,UpdateCFP,1768098630.667832,2665,0,1
2,UpdateCo2,1768098630.670542,409,0,1
2,UpdateCo2,1768098630.670980,311,0,1
1,UpdateCFP,1768098630.671313,3333,0,1
1,UpdateCFP,1768098630.674690,2885,0,1
2,UpdateCo2,1768098630.677619,574,0,1
2,UpdateCo2,1768098630.678229,500,0,1
2,UpdateCo2,1768098630.678759,372,0,1
2,UpdateCo2,1768098630.679150,340,0,1
2,UpdateCo2,1768098630.679509,344,0,1
1,UpdateCFP,1768098630.679871,3154,0,1
1,UpdateCFP,1768098630.683059,3095,0,1
1,UpdateCFP,1768098630.686198,3678,0,1
