Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,548.200,0.185,0.059,0.110,0.131,0.190,0.257,0.379,1.181,26.816,5.402
5,668.400,0.132,0.063,0.110,0.119,0.135,0.174,0.185,0.349,3.973,7.598
10,666.600,0.133,0.058,0.109,0.116,0.137,0.172,0.188,0.377,13.861,7.507
15,732.200,0.126,0.086,0.104,0.110,0.124,0.161,0.174,0.304,17.251,7.927
20,841.200,0.109,0.063,0.095,0.099,0.107,0.120,0.145,0.255,0.803,9.215
25,776.800,0.115,0.093,0.100,0.106,0.116,0.131,0.148,0.338,0.827,8.727
30,821.400,0.120,0.091,0.106,0.112,0.121,0.134,0.147,0.258,6.831,8.299
35,834.200,0.117,0.088,0.103,0.110,0.119,0.134,0.149,0.307,0.706,8.516
40,821.000,0.111,0.087,0.099,0.105,0.114,0.127,0.143,0.214,0.582,8.986
45,820.000,0.111,0.091,0.099,0.105,0.113,0.126,0.142,0.240,0.484,8.977
50,880.800,0.106,0.093,0.096,0.100,0.108,0.117,0.132,0.191,0.659,9.398
55,960.400,0.093,0.047,0.052,0.105,0.115,0.127,0.140,0.202,0.822,10.706
60,0.200,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,9.174
