Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,UpdateCFP,1768056907.075445,1303,0,1
2,UpdateCo2,1768056907.076764,76,0,1
1,UpdateCFP,1768056907.076846,954,0,1
1,UpdateCFP,1768056907.077812,1464,0,1
2,UpdateCo2,1768056907.079288,475,0,1
2,UpdateCo2,1768056907.079773,79,0,1
1,UpdateCFP,1768056907.079857,1225,0,1
2,UpdateCo2,1768056907.081094,73,0,1
1,UpdateCFP,1768056907.081173,1346,0,1
2,UpdateCo2,1768056907.082531,198,0,1
1,UpdateCFP,1768056907.082736,1010,0,1
1,UpdateCFP,1768056907.083757,1198,0,1
1,UpdateCFP,1768056907.084967,1124,0,1
1,UpdateCFP,1768056907.086105,971,0,1
1,UpdateCFP,1768056907.087089,1190,0,1
1,UpdateCFP,1768056907.088291,975,0,1
2,UpdateCo2,1768056907.089279,78,0,1
1,UpdateCFP,1768056907.089362,938,0,1
1,UpdateCFP,1768056907.090312,949,0,1
2,UpdateCo2,1768056907.091273,67,0,1
2,UpdateCo2,1768056907.091345,67,0,1
1,UpdateCFP,1768056907.091416,905,0,1
2,UpdateCo2,1768056907.092333,65,0,1
2,UpdateCo2,1768056907.092403,63,0,1
1,UpdateCFP,1768056907.092470,930,0,1
2,UpdateCo2,1768056907.093411,67,0,1
2,UpdateCo2,1768056907.093483,90,0,1
2,UpdateCo2,1768056907.093580,68,0,1
1,UpdateCFP,1768056907.093653,964,0,1
1,UpdateCFP,1768056907.094630,1080,0,1
1,UpdateCFP,1768056907.095722,989,0,1
2,UpdateCo2,1768056907.096724,70,0,1
1,UpdateCFP,1768056907.096799,1094,0,1
1,UpdateCFP,1768056907.097928,1543,0,1
1,UpdateCFP,1768056907.099485,888,0,1
1,UpdateCFP,1768056907.100385,929,0,1
1,UpdateCFP,1768056907.101327,971,0,1
2,UpdateCo2,1768056907.102310,67,0,1
2,UpdateCo2,1768056907.102382,67,0,1
2,UpdateCo2,1768056907.102454,65,0,1
1,UpdateCFP,1768056907.102523,986,0,1
1,UpdateCFP,1768056907.103521,1047,0,1
2,UpdateCo2,1768056907.104581,64,0,1
2,UpdateCo2,1768056907.104651,60,0,1
2,UpdateCo2,1768056907.104716,60,0,1
2,UpdateCo2,1768056907.104783,98,0,1
2,UpdateCo2,1768056907.104885,70,0,1
1,UpdateCFP,1768056907.104960,1073,0,1
1,UpdateCFP,1768056907.106043,838,0,1
2,UpdateCo2,1768056907.106889,67,0,1
2,UpdateCo2,1768056907.106962,62,0,1
2,UpdateCo2,1768056907.107028,64,0,1
