Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,616,616.000,80,288,1269,1597,2571,3601,4520,5424,10524
1,1067,1067.000,76,169,753,924,1581,2010,2349,3111,4461
2,1175,1175.000,65,149,428,837,1508,1752,1928,2319,4977
3,1178,1178.000,64,130,1029,835,1418,1691,1884,2232,2958
4,1240,1240.000,60,121,248,796,1348,1705,2032,2653,32097
5,1326,1326.000,104,119,214,740,1322,1566,1749,2119,2771
6,1255,1255.000,77,120,557,788,1379,1677,1900,2400,5475
7,1293,1293.000,103,120,868,764,1321,1603,1758,2140,6982
8,1179,1179.000,102,119,1075,838,1440,1680,1861,2188,2498
9,1306,1306.000,101,117,255,756,1375,1593,1743,2072,3051
10,1404,1404.000,95,113,748,703,1222,1523,1723,2031,2789
11,1821,1821.000,52,63,531,546,954,1216,1383,1775,12270
12,1524,1524.000,94,109,463,648,1130,1392,1560,1947,3105
13,1218,1218.000,100,119,973,811,1380,1699,1881,2242,3611
14,1276,1276.000,103,117,390,774,1377,1697,1868,2197,3481
15,1226,1226.000,102,120,960,807,1396,1694,1861,2167,7236
16,1282,1282.000,104,118,351,769,1361,1688,1857,2301,6155
17,1329,1329.000,61,116,421,744,1329,1674,1868,2202,3177
18,1298,1298.000,61,122,744,761,1314,1668,1814,2255,3308
19,1198,1198.000,61,126,910,825,1434,1791,2021,2482,3262
20,1221,1221.000,102,123,466,809,1400,1675,1885,2591,19553
21,1324,1324.000,102,114,866,746,1318,1599,1751,2064,2598
22,1592,1592.000,93,102,322,621,1067,1382,1564,1930,2493
23,1537,1537.000,93,103,716,644,1115,1393,1554,1832,2353
24,1572,1572.000,92,100,325,629,1101,1415,1578,1913,2386
25,1457,1457.000,94,111,726,677,1162,1494,1675,2017,6706
26,1596,1596.000,97,111,227,619,1066,1388,1574,1984,2518
27,1558,1558.000,49,109,655,635,1078,1356,1531,2004,4196
28,1409,1409.000,98,113,746,702,1193,1531,1707,2208,4205
29,1322,1322.000,98,115,674,748,1296,1613,1794,2215,8875
30,1517,1517.000,98,112,255,651,1104,1414,1614,2158,7664
31,1422,1422.000,102,118,802,694,1172,1463,1655,2110,3873
32,1556,1556.000,102,113,240,636,1090,1389,1593,2053,2825
33,1332,1332.000,56,124,221,742,1339,1635,1848,2148,2761
34,1313,1313.000,63,121,373,753,1335,1678,1900,2324,3136
35,1160,1160.000,102,129,473,851,1462,1926,2218,2806,3998
36,1357,1357.000,100,121,197,728,1318,1621,1870,2424,3602
37,1551,1551.000,92,113,706,638,1105,1352,1531,1935,2631
38,1563,1563.000,50,111,768,633,1061,1322,1510,1984,2736
39,1565,1565.000,100,113,211,632,1113,1414,1572,1921,2228
40,1456,1456.000,61,116,238,680,1212,1536,1703,2072,2547
41,1626,1626.000,49,67,573,609,1056,1427,1597,1986,2718
42,1304,1304.000,48,117,774,759,1320,1634,1821,2201,13614
43,1498,1498.000,95,110,566,659,1142,1455,1616,1947,3267
44,1637,1637.000,48,106,323,604,1054,1311,1476,1798,2272
45,1741,1741.000,48,103,184,570,1006,1248,1419,1747,2206
46,1638,1638.000,48,100,624,606,1054,1330,1476,1874,2374
47,1598,1598.000,94,103,411,621,1068,1370,1589,1972,2529
48,1885,1885.000,47,96,143,526,946,1185,1321,1572,2618
49,1617,1617.000,93,99,749,614,1009,1317,1528,1891,2352
50,1671,1671.000,93,99,665,594,1026,1271,1427,1824,2353
51,1755,1755.000,50,106,203,566,990,1247,1408,1766,2299
52,1756,1756.000,48,97,644,565,969,1234,1382,1753,2333
53,1814,1814.000,47,96,546,548,951,1217,1366,1717,2834
54,1989,1989.000,47,49,564,501,841,1087,1250,1580,5176
55,2181,2181.000,47,49,142,457,808,1068,1218,1610,2567
56,1844,1844.000,47,95,249,539,937,1210,1363,1779,5257
57,1455,1455.000,57,96,769,684,1195,1466,1677,2140,2871
58,1371,1371.000,53,107,387,725,1280,1593,1809,2110,3028
59,1525,1525.000,93,105,720,653,1140,1400,1569,1999,2795
60,4,4.000,112,116,1053,727,1629,1629,1629,1629,1629
