Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,779.600,0.108,0.052,0.093,0.100,0.116,0.138,0.157,0.278,1.396,9.263
5,746.000,0.102,0.049,0.089,0.095,0.106,0.120,0.140,0.230,2.683,9.837
10,983.400,0.088,0.043,0.080,0.083,0.091,0.102,0.113,0.151,25.871,11.422
15,893.800,0.094,0.068,0.083,0.087,0.096,0.109,0.122,0.208,0.637,10.682
20,909.200,0.094,0.042,0.082,0.087,0.097,0.113,0.123,0.179,0.631,10.656
25,943.800,0.086,0.037,0.082,0.084,0.090,0.099,0.108,0.154,0.620,11.647
30,911.000,0.092,0.073,0.082,0.084,0.090,0.102,0.139,0.221,0.435,10.878
35,824.400,0.094,0.073,0.082,0.085,0.094,0.110,0.138,0.277,0.713,10.644
40,901.600,0.088,0.037,0.081,0.084,0.090,0.101,0.113,0.210,0.886,11.326
45,877.600,0.093,0.069,0.082,0.086,0.094,0.108,0.135,0.192,0.536,10.784
50,885.600,0.092,0.038,0.082,0.085,0.092,0.105,0.126,0.230,0.603,10.880
55,901.200,0.089,0.038,0.081,0.084,0.090,0.099,0.110,0.187,1.321,11.175
60,0.400,0.100,0.098,0.098,0.102,0.102,0.102,0.102,0.102,0.102,10.000
