Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,UpdateCFP,1768145561.014196,6479,0,1
1,UpdateCFP,1768145561.020834,4705,0,1
2,UpdateCo2,1768145561.025577,1222,0,1
2,UpdateCo2,1768145561.026826,1089,0,1
2,UpdateCo2,1768145561.027942,1635,0,1
2,UpdateCo2,1768145561.029605,1163,0,1
2,UpdateCo2,1768145561.030796,1181,0,1
1,UpdateCFP,1768145561.032005,4197,0,1
2,UpdateCo2,1768145561.036234,1248,0,1
1,UpdateCFP,1768145561.037509,3887,0,1
1,UpdateCFP,1768145561.041433,4326,0,1
1,UpdateCFP,1768145561.045794,4298,0,1
2,UpdateCo2,1768145561.050132,1417,0,1
2,UpdateCo2,1768145561.051581,1574,0,1
2,UpdateCo2,1768145561.053194,1267,0,1
1,UpdateCFP,1768145561.054492,5242,0,1
2,UpdateCo2,1768145561.059773,1471,0,1
2,UpdateCo2,1768145561.061276,1255,0,1
2,UpdateCo2,1768145561.062560,1359,0,1
1,UpdateCFP,1768145561.063947,5219,0,1
2,UpdateCo2,1768145561.069205,1620,0,1
1,UpdateCFP,1768145561.070866,5612,0,1
1,UpdateCFP,1768145561.076517,5011,0,1
2,UpdateCo2,1768145561.081568,1497,0,1
1,UpdateCFP,1768145561.083104,4867,0,1
1,UpdateCFP,1768145561.088010,4353,0,1
2,UpdateCo2,1768145561.092403,1855,0,1
2,UpdateCo2,1768145561.094312,1874,0,1
2,UpdateCo2,1768145561.096217,1427,0,1
1,UpdateCFP,1768145561.097673,4954,0,1
2,UpdateCo2,1768145561.102668,1716,0,1
2,UpdateCo2,1768145561.104424,2415,0,1
1,UpdateCFP,1768145561.106894,5914,0,1
1,UpdateCFP,1768145561.112847,5603,0,1
2,UpdateCo2,1768145561.118490,1728,0,1
2,UpdateCo2,1768145561.120257,1234,0,1
2,UpdateCo2,1768145561.121523,1234,0,1
1,UpdateCFP,1768145561.122796,5840,0,1
1,UpdateCFP,1768145561.128676,4004,0,1
1,UpdateCFP,1768145561.132720,4414,0,1
2,UpdateCo2,1768145561.137174,1294,0,1
2,UpdateCo2,1768145561.138507,917,0,1
2,UpdateCo2,1768145561.139452,884,0,1
1,UpdateCFP,1768145561.140389,4599,0,1
1,UpdateCFP,1768145561.145033,4039,0,1
1,UpdateCFP,1768145561.149113,3197,0,1
