Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1095.800,0.899,0.059,0.131,0.901,1.456,1.973,2.369,3.362,26.816,1.112
5,1348.400,0.733,0.063,0.119,0.753,1.284,1.588,1.783,2.236,4.220,1.365
10,1348.800,0.733,0.058,0.116,0.819,1.287,1.548,1.716,2.032,13.861,1.364
15,1465.400,0.674,0.086,0.110,0.654,1.183,1.478,1.644,2.050,17.251,1.483
20,1699.000,0.583,0.063,0.099,0.659,0.995,1.252,1.415,1.770,3.478,1.716
25,1584.200,0.625,0.093,0.106,0.728,1.064,1.323,1.513,1.886,5.608,1.601
30,1630.400,0.607,0.091,0.112,0.277,1.037,1.301,1.462,1.838,6.831,1.648
35,1650.200,0.600,0.088,0.109,0.265,1.019,1.283,1.455,1.872,14.362,1.668
40,1660.000,0.598,0.087,0.106,0.691,1.029,1.263,1.414,1.771,3.647,1.673
45,1631.000,0.609,0.091,0.105,0.324,0.998,1.333,1.645,2.173,3.314,1.642
50,1794.000,0.553,0.093,0.100,0.672,0.932,1.155,1.284,1.589,3.712,1.807
55,1888.600,0.527,0.047,0.105,0.192,0.911,1.169,1.341,1.734,5.388,1.898
60,0.600,0.814,0.109,0.109,1.123,1.209,1.209,1.209,1.209,1.209,1.229
