Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,770.600,1.167,0.647,0.938,1.103,1.330,1.541,1.685,2.124,7.799,0.857
5,741.800,1.229,0.608,1.018,1.202,1.406,1.596,1.748,2.046,4.047,0.814
10,982.600,0.919,0.496,0.738,0.864,1.050,1.255,1.391,1.667,2.313,1.088
15,874.400,1.033,0.576,0.805,0.958,1.184,1.407,1.667,2.131,3.600,0.968
20,921.800,0.979,0.561,0.770,0.922,1.136,1.316,1.459,1.749,3.480,1.021
25,931.400,0.974,0.506,0.776,0.923,1.119,1.299,1.432,1.784,12.908,1.027
30,899.600,1.006,0.549,0.812,0.969,1.151,1.327,1.457,1.765,2.239,0.994
35,857.800,1.067,0.548,0.859,1.031,1.222,1.427,1.571,1.861,3.408,0.937
40,894.800,1.020,0.484,0.822,0.983,1.166,1.355,1.491,1.775,4.088,0.980
45,881.600,1.034,0.558,0.835,0.988,1.180,1.364,1.504,1.750,5.643,0.968
50,893.400,1.020,0.560,0.822,0.973,1.159,1.341,1.471,1.759,19.893,0.980
55,902.600,1.011,0.578,0.793,0.957,1.175,1.373,1.514,1.819,2.877,0.990
60,0.200,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,0.796
